"","PhytoDate","WQDate","StationCode","Month","Year","Latitude","Longitude","Genus","CarbonperML","AirTemp","Chla","Pheophytin","TotAmmonia","DissAmmonia","DissNitrateNitrite","DOC","TOC","DON","TON","DissOrthophos","TotPhos","DissSilica","TDS","TSS","TKN","Depth","Secchi","Microcystis","SpCndSurface","DOSurface","WTSurface"
"34",2011-03-10,2011-03-10,"MD10A",3,2011,38.04226,-121.4199,"Microcystis",0,NA,"1.71","0.77",NA,"0.03","0.63","6.2","6.2","0.5",NA,"0.08",0.11,"11.6",160,"3","0.6",16.3,124,NA,290,8.7,14.1
"35",2011-03-10,2011-03-10,"P8",3,2011,37.97817,-121.3823,"Microcystis",0,NA,"4.52","1.89",NA,"0.07","0.73","3.8","3.9","0.2",NA,"0.06",0.08,"10.8",165,"6","0.4",32.2,84,NA,296,9.75,13.4
"36",2011-03-11,2011-03-11,"D19",3,2011,38.04376,-121.6148,"Microcystis",0,NA,"1.12","0.81",NA,"0.08","0.48","4.5","4.7","0.3",NA,"0.04",0.08,"15.3",124,"8","0.4",6.4,84,NA,216,9.5,12.5
"37",2011-03-11,2011-03-11,"D28A",3,2011,37.97048,-121.573,"Microcystis",0,NA,"1.09","0.85",NA,"0.04","0.48","5.6","5.7","0.4",NA,"0.04",0.08,"12.9",159,"3","0.6",12.1,100,NA,286,9.25,13.2
"38",2011-03-14,2011-03-14,"D4",3,2011,38.06248,-121.8205,"Microcystis",0,NA,"1.61","0.73",NA,"0.09","0.28","3.4","3.4","0.2",NA,"0.04",0.08,"17.2",115,"10","0.4",34.9,76,NA,185,9.7,13.1
"39",2011-03-14,2011-03-14,"D8",3,2011,38.05992,-121.99,"Microcystis",0,NA,"2.18","0.54",NA,"0.1","0.37","3.5","3.7","0.2",NA,"0.04",0.08,"16.6",194,"11","0.4",45.5,72,NA,337,9.7,12.9
"40",2011-03-14,2011-03-14,"EZ2",3,2011,38.0532,-121.9465,"Microcystis",0,NA,"2.05","0.46",NA,"0.07","0.29","3.5","3.6","0.3",NA,"0.03",0.06,"16.3",159,"9","0.3",54.5,64,NA,261,9.8,13.2
"41",2011-03-14,2011-03-14,"EZ6",3,2011,38.0588,-121.9707,"Microcystis",0,NA,"2.06","0.67",NA,"0.09","0.36","3.4","3.6","0.2",NA,"0.04",0.07,"17",169,"10","0.4",43,64,NA,304,9.7,13.2
"42",2011-03-15,2011-03-15,"D7",3,2011,38.11714,-122.0397,"Microcystis",0,NA,"1.63","0.81",NA,"0.1","0.36","3.7","3.9","0.2",NA,"0.04",0.08,"16.5",872,"21","0.4",6.2,44,NA,1604,9.65,13.4
"43",2011-03-16,2011-03-16,"D41",3,2011,38.03022,-122.3729,"Microcystis",0,NA,"5.84","0.46",NA,"0.09","0.32","1.1","1.2","0.2",NA,"0.05",0.1,"10.1",16990,"12","0.5",43.8,90,NA,27144,8.9,12.8
