Date,Station,Depth,Analyte,Result
7/6/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0.94
7/6/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),CYN,0
7/6/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),STX,0
7/6/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),ANTX-A,0
7/14/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,2.62
7/14/2020,Banks PP,~10-15 feet (depth of WQ station intake),CYN,0
7/14/2020,Banks PP,~10-15 feet (depth of WQ station intake),STX,0
7/14/2020,Banks PP,~10-15 feet (depth of WQ station intake),ANTX-A,0
7/14/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,1.2
7/22/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,3.09
7/22/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,3.18
7/27/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.64
7/27/2020,Banks PP,~10-15 feet (depth of WQ station intake),CYN,0
7/27/2020,Banks PP,~10-15 feet (depth of WQ station intake),STX,0
7/27/2020,Banks PP,~10-15 feet (depth of WQ station intake),ANTX-A,0
7/27/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,2.26
7/30/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
7/30/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,2.26
8/3/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.68
8/3/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,1.94
8/4/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,3.53
8/4/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,2.15
8/10/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
8/10/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0.62
8/14/2020,Delta Water Treatment Plant,,MC,0
8/17/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.88
8/17/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,1.49
8/24/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,2.39
8/24/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,1.89
8/31/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,2.71
8/31/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,3.87
9/8/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.95
9/8/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,2.58
9/14/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.7
9/14/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,2.02
9/21/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0.38
9/21/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,1.1
9/28/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
9/28/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0.54
10/5/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
10/5/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0.32
10/12/2020,Banks PP,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
10/12/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0.52
10/19/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
10/19/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
10/26/2020,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
10/26/2020,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
4/26/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
4/26/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
5/10/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
5/24/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
5/24/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
6/7/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
6/7/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
6/21/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
6/21/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
7/12/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
7/12/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
7/26/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
7/26/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
8/9/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
8/9/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
8/9/2021,Banks PP,~10-15 feet (depth of WQ station intake),CYN,0
8/9/2021,Banks PP,~10-15 feet (depth of WQ station intake),STX,0
8/9/2021,Banks PP,~10-15 feet (depth of WQ station intake),ANTX-A,0
8/23/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),MC,0
8/23/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
9/13/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
9/13/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
9/27/2021,Clifton Court Forebay,~10-15 feet (depth of WQ station intake),PTOX Screen- toxin analysis not recomme0ed,
9/27/2021,Banks PP,~10-15 feet (depth of WQ station intake),MC,0
