Date,Region,AvgCI
6/2/2021,Mildred Island,0
6/2/2021,Clifton Court Forebay,4.38E-05
6/2/2021,Liberty Island,0
6/5/2021,Franks Tract,0
6/5/2021,Mildred Island,0
6/5/2021,Clifton Court Forebay,5.25E-05
6/6/2021,Franks Tract,0
6/6/2021,Mildred Island,0
6/6/2021,Clifton Court Forebay,0
6/6/2021,Liberty Island,0
6/9/2021,Franks Tract,0
6/9/2021,Mildred Island,0
6/9/2021,Clifton Court Forebay,1.33E-05
6/9/2021,Liberty Island,0
6/10/2021,Franks Tract,0
6/10/2021,Clifton Court Forebay,8.45E-05
6/10/2021,Liberty Island,0
6/12/2021,Liberty Island,0
6/13/2021,Franks Tract,0
6/13/2021,Mildred Island,0
6/13/2021,Clifton Court Forebay,0
6/13/2021,Liberty Island,0
6/14/2021,Franks Tract,0
6/14/2021,Mildred Island,0
6/14/2021,Clifton Court Forebay,0
6/14/2021,Liberty Island,0
6/17/2021,Franks Tract,0
6/17/2021,Mildred Island,0
6/17/2021,Clifton Court Forebay,0
6/17/2021,Liberty Island,0
6/18/2021,Franks Tract,0
6/18/2021,Clifton Court Forebay,0
6/18/2021,Liberty Island,0
6/20/2021,Franks Tract,0
6/20/2021,Clifton Court Forebay,0
6/20/2021,Liberty Island,7.65E-05
6/21/2021,Franks Tract,0
6/21/2021,Mildred Island,0
6/21/2021,Clifton Court Forebay,0
6/21/2021,Liberty Island,0
6/24/2021,Franks Tract,0
6/24/2021,Mildred Island,1.76E-04
6/24/2021,Clifton Court Forebay,0
6/24/2021,Liberty Island,0
6/25/2021,Franks Tract,0
6/25/2021,Mildred Island,3.56E-04
6/25/2021,Clifton Court Forebay,0
6/25/2021,Liberty Island,0
6/28/2021,Franks Tract,0
6/28/2021,Mildred Island,7.98E-05
6/28/2021,Clifton Court Forebay,0
6/28/2021,Liberty Island,0
6/29/2021,Franks Tract,0
6/29/2021,Mildred Island,4.71E-04
6/29/2021,Clifton Court Forebay,1.19E-06
6/29/2021,Liberty Island,0
7/2/2021,Franks Tract,0
7/2/2021,Mildred Island,3.55E-05
7/2/2021,Clifton Court Forebay,1.00E-05
7/2/2021,Liberty Island,0
7/3/2021,Clifton Court Forebay,1.01E-04
7/3/2021,Liberty Island,0
7/6/2021,Franks Tract,9.55E-05
7/6/2021,Mildred Island,3.60E-04
7/6/2021,Clifton Court Forebay,3.04E-05
7/6/2021,Liberty Island,0
7/7/2021,Franks Tract,1.38E-04
7/7/2021,Mildred Island,4.12E-04
7/7/2021,Clifton Court Forebay,5.03E-04
7/7/2021,Liberty Island,0
7/9/2021,Liberty Island,0
7/10/2021,Franks Tract,1.33E-04
7/10/2021,Mildred Island,0
7/10/2021,Clifton Court Forebay,0
7/10/2021,Liberty Island,0
7/11/2021,Franks Tract,7.09E-04
7/11/2021,Clifton Court Forebay,0
7/11/2021,Liberty Island,0
7/13/2021,Franks Tract,4.78E-04
7/13/2021,Mildred Island,0
7/13/2021,Clifton Court Forebay,0
7/13/2021,Liberty Island,2.64E-05
7/14/2021,Franks Tract,0.001535814
7/14/2021,Mildred Island,0
7/14/2021,Clifton Court Forebay,1.64E-04
7/14/2021,Liberty Island,0
7/15/2021,Franks Tract,0.001429618
7/15/2021,Clifton Court Forebay,3.44E-04
7/15/2021,Liberty Island,0
7/17/2021,Franks Tract,0.001162233
7/17/2021,Mildred Island,0
7/17/2021,Clifton Court Forebay,3.76E-05
7/17/2021,Liberty Island,0
7/18/2021,Franks Tract,0.002124717
7/18/2021,Mildred Island,0
7/18/2021,Clifton Court Forebay,3.66E-05
7/18/2021,Liberty Island,0
7/21/2021,Franks Tract,0.002541765
7/21/2021,Mildred Island,0
7/21/2021,Clifton Court Forebay,3.72E-04
7/21/2021,Liberty Island,0
7/25/2021,Franks Tract,0.003983153
7/25/2021,Mildred Island,0
7/25/2021,Clifton Court Forebay,1.07E-05
7/25/2021,Liberty Island,0
7/29/2021,Franks Tract,0.006597383
7/29/2021,Mildred Island,0
7/29/2021,Clifton Court Forebay,0
7/29/2021,Liberty Island,0
7/30/2021,Franks Tract,0.006277594
7/30/2021,Clifton Court Forebay,9.99E-06
7/30/2021,Liberty Island,0
8/2/2021,Franks Tract,0.004014564
8/2/2021,Mildred Island,2.81E-05
8/2/2021,Clifton Court Forebay,8.44E-04
8/2/2021,Liberty Island,0
8/3/2021,Franks Tract,0.004105036
8/3/2021,Clifton Court Forebay,0.001660123
8/3/2021,Liberty Island,0
8/5/2021,Liberty Island,9.27E-05
8/6/2021,Franks Tract,0.002872674
8/9/2021,Franks Tract,0.004140828
8/9/2021,Mildred Island,0
8/9/2021,Clifton Court Forebay,1.50E-04
8/9/2021,Liberty Island,0
8/10/2021,Franks Tract,0.003526577
8/10/2021,Clifton Court Forebay,2.41E-04
8/10/2021,Liberty Island,0
8/11/2021,Franks Tract,0.003551654
8/11/2021,Clifton Court Forebay,1.32E-04
8/13/2021,Franks Tract,0.002608397
8/13/2021,Mildred Island,0
8/13/2021,Clifton Court Forebay,6.86E-04
8/13/2021,Liberty Island,0
8/14/2021,Franks Tract,0.003475338
8/14/2021,Clifton Court Forebay,8.30E-04
8/21/2021,Franks Tract,0.001116597
8/21/2021,Clifton Court Forebay,5.42E-05
8/21/2021,Liberty Island,0
8/22/2021,Franks Tract,0.001253407
8/22/2021,Clifton Court Forebay,0
8/22/2021,Liberty Island,3.48E-05
8/25/2021,Franks Tract,5.21E-04
8/25/2021,Mildred Island,0
8/25/2021,Clifton Court Forebay,0
8/25/2021,Liberty Island,0
8/26/2021,Franks Tract,6.11E-04
8/26/2021,Mildred Island,0
8/26/2021,Clifton Court Forebay,5.92E-06
8/26/2021,Liberty Island,0
8/29/2021,Franks Tract,4.80E-04
8/29/2021,Mildred Island,0
8/29/2021,Clifton Court Forebay,0
8/29/2021,Liberty Island,6.99E-06
8/30/2021,Franks Tract,3.31E-04
8/30/2021,Mildred Island,0
8/30/2021,Clifton Court Forebay,0
8/30/2021,Liberty Island,0
9/1/2021,Liberty Island,0
9/2/2021,Franks Tract,1.40E-04
9/2/2021,Mildred Island,0
9/2/2021,Clifton Court Forebay,0
9/2/2021,Liberty Island,0
9/3/2021,Franks Tract,5.06E-05
9/3/2021,Clifton Court Forebay,2.30E-05
9/3/2021,Liberty Island,1.32E-04
9/5/2021,Franks Tract,1.76E-04
9/5/2021,Mildred Island,0
9/5/2021,Clifton Court Forebay,0
9/5/2021,Liberty Island,0
9/6/2021,Franks Tract,2.92E-04
9/6/2021,Mildred Island,0
9/6/2021,Clifton Court Forebay,0
9/6/2021,Liberty Island,0
9/7/2021,Franks Tract,0
9/7/2021,Clifton Court Forebay,0
9/7/2021,Liberty Island,1.84E-05
9/9/2021,Franks Tract,0
9/9/2021,Mildred Island,0
9/9/2021,Clifton Court Forebay,0
9/9/2021,Liberty Island,0
9/10/2021,Franks Tract,0
9/10/2021,Mildred Island,0
9/10/2021,Clifton Court Forebay,0
