Station Name,Station Number,Sample Date,Sample Depth,Chlorophyll a ug/L Std Method 10200 H 274 [1]*
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,04/02/2021 07:15,3 Feet,7.36
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,05/04/2021 10:15,3 Feet,0.79
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,06/02/2021 09:40,3 Feet,2
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,07/15/2021 07:45,3 Feet,3.79
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,08/13/2021 07:45,3 Feet,3.79
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,09/13/2021 08:50,3 Feet,2.25
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,10/14/2021 12:25,3 Feet,2.04
D16 - San Joaquin River @ Twitchell Island,B9D80581401,03/04/2021 09:40,3 Feet,2.5
D16 - San Joaquin River @ Twitchell Island,B9D80581401,04/02/2021 09:00,3 Feet,2.21
D16 - San Joaquin River @ Twitchell Island,B9D80581401,05/04/2021 12:00,3 Feet,1.43
D16 - San Joaquin River @ Twitchell Island,B9D80581401,06/03/2021 09:40,3 Feet,1.49
D16 - San Joaquin River @ Twitchell Island,B9D80581401,07/15/2021 09:50,3 Feet,5.32
D16 - San Joaquin River @ Twitchell Island,B9D80581401,08/13/2021 10:10,3 Feet,9.03
D16 - San Joaquin River @ Twitchell Island,B9D80581401,09/13/2021 10:25,3 Feet,1.94
D16 - San Joaquin River @ Twitchell Island,B9D80581401,10/14/2021 14:20,3 Feet,2
D19 - Frank's Tract near Russo's Landing,B9D80261369,03/04/2021 10:35,3 Feet,2.68
D19 - Frank's Tract near Russo's Landing,B9D80261369,04/02/2021 10:05,3 Feet,1.94
D19 - Frank's Tract near Russo's Landing,B9D80261369,05/04/2021 12:50,3 Feet,1.01
D19 - Frank's Tract near Russo's Landing,B9D80261369,06/02/2021 12:30,3 Feet,1.42
D19 - Frank's Tract near Russo's Landing,B9D80261369,07/15/2021 10:50,3 Feet,4.31
D19 - Frank's Tract near Russo's Landing,B9D80261369,08/13/2021 11:30,3 Feet,15.3
D19 - Frank's Tract near Russo's Landing,B9D80261369,09/13/2021 11:45,3 Feet,2.42
D19 - Frank's Tract near Russo's Landing,B9D80261369,10/14/2021 16:25,3 Feet,1.42
D22 - Sacramento River @ Emmaton,B9D80511443,03/08/2021 13:00,3 Feet,7.71
D22 - Sacramento River @ Emmaton,B9D80511443,04/06/2021 12:15,3 Feet,12.07
D22 - Sacramento River @ Emmaton,B9D80511443,05/06/2021 13:35,3 Feet,1.55
D22 - Sacramento River @ Emmaton,B9D80511443,06/04/2021 12:30,3 Feet,1.97
D22 - Sacramento River @ Emmaton,B9D80511443,07/19/2021 13:10,3 Feet,2.94
D22 - Sacramento River @ Emmaton,B9D80511443,08/17/2021 13:20,3 Feet,2.81
D22 - Sacramento River @ Emmaton,B9D80511443,09/14/2021 11:50,3 Feet,1.23
D22 - Sacramento River @ Emmaton,B9D80511443,10/22/2021 07:10,3 Feet,1.32
D26 - San Joaquin River @ Potato Point,B9D80461340,03/05/2021 08:30,3 Feet,3.11
D26 - San Joaquin River @ Potato Point,B9D80461340,04/05/2021 10:15,3 Feet,3.43
D26 - San Joaquin River @ Potato Point,B9D80461340,05/05/2021 10:50,3 Feet,2.11
D26 - San Joaquin River @ Potato Point,B9D80461340,06/03/2021 10:35,3 Feet,2.17
D26 - San Joaquin River @ Potato Point,B9D80461340,07/16/2021 07:55,3 Feet,5.53
D26 - San Joaquin River @ Potato Point,B9D80461340,08/16/2021 10:45,3 Feet,13.9
D26 - San Joaquin River @ Potato Point,B9D80461340,09/10/2021 07:25,3 Feet,2.3
D26 - San Joaquin River @ Potato Point,B9D80461340,10/13/2021 11:20,3 Feet,1.67
D28A - Old River @ Rancho Del Rio,B9D75821344,03/04/2021 11:20,3 Feet,2.7
D28A - Old River @ Rancho Del Rio,B9D75821344,04/02/2021 11:00,3 Feet,2.05
D28A - Old River @ Rancho Del Rio,B9D75821344,05/04/2021 13:30,3 Feet,1.61
D28A - Old River @ Rancho Del Rio,B9D75821344,06/02/2021 13:25,3 Feet,2.24
D28A - Old River @ Rancho Del Rio,B9D75821344,07/15/2021 11:40,3 Feet,5.43
D28A - Old River @ Rancho Del Rio,B9D75821344,08/13/2021 12:15,3 Feet,15.5
D28A - Old River @ Rancho Del Rio,B9D75821344,09/13/2021 12:35,3 Feet,2.87
D28A - Old River @ Rancho Del Rio,B9D75821344,10/14/2021 17:05,3 Feet,1.64
D4 - Sacramento River above Point Sacramento,B9D80381492,03/08/2021 11:35,3 Feet,4.69
D4 - Sacramento River above Point Sacramento,B9D80381492,04/06/2021 11:20,3 Feet,7.38
D4 - Sacramento River above Point Sacramento,B9D80381492,05/06/2021 12:00,3 Feet,2.28
D4 - Sacramento River above Point Sacramento,B9D80381492,06/04/2021 11:30,3 Feet,3.74
D4 - Sacramento River above Point Sacramento,B9D80381492,07/19/2021 12:00,3 Feet,2.94
D4 - Sacramento River above Point Sacramento,B9D80381492,08/17/2021 12:30,3 Feet,2.91
D4 - Sacramento River above Point Sacramento,B9D80381492,09/14/2021 10:40,3 Feet,2.08
D4 - Sacramento River above Point Sacramento,B9D80381492,10/22/2021 06:30,3 Feet,0.53
D41 - San Pablo Bay near Pinole Point,E0B80182224,03/11/2021 10:30,3 Feet,2.37
D41 - San Pablo Bay near Pinole Point,E0B80182224,04/09/2021 11:25,3 Feet,2.55
D41 - San Pablo Bay near Pinole Point,E0B80182224,05/11/2021 12:35,3 Feet,2.99
D41 - San Pablo Bay near Pinole Point,E0B80182224,06/09/2021 13:00,3 Feet,4.84
D41 - San Pablo Bay near Pinole Point,E0B80182224,07/22/2021 12:45,3 Feet,7.2
D41 - San Pablo Bay near Pinole Point,E0B80182224,08/20/2021 11:40,3 Feet,5.74
D41 - San Pablo Bay near Pinole Point,E0B80182224,09/17/2021 11:20,3 Feet,3.84
D41 - San Pablo Bay near Pinole Point,E0B80182224,10/19/2021 11:35,3 Feet,3.41
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,03/11/2021 09:45,3 Feet,4.36
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,04/09/2021 10:40,3 Feet,4.93
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,05/11/2021 11:45,3 Feet,3.19
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,06/09/2021 12:20,3 Feet,13
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,07/22/2021 11:00,3 Feet,9
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,08/20/2021 11:00,3 Feet,6.23
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,09/17/2021 09:40,3 Feet,4.67
D41A - San Pablo Bay near Mouth of Petaluma River,E0B80512234,10/19/2021 11:00,3 Feet,5.62
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,03/10/2021 11:35,3 Feet,3.17
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,04/07/2021 11:20,3 Feet,3.23
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,05/07/2021 11:35,3 Feet,1.82
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,06/08/2021 14:05,3 Feet,3.1
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,07/21/2021 12:50,3 Feet,5.32
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,08/18/2021 12:15,3 Feet,4.22
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,09/15/2021 10:55,3 Feet,1.87
D6 - Suisun Bay @ Bulls Head nr. Martinez,E3B80272071,10/15/2021 11:00,3 Feet,2.77
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,03/10/2021 12:20,3 Feet,4.77
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,04/08/2021 11:40,3 Feet,3.28
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,05/10/2021 14:10,3 Feet,1.85
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,06/08/2021 14:50,3 Feet,4.21
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,07/21/2021 13:30,3 Feet,6.54
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,08/19/2021 12:40,3 Feet,6.76
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,09/16/2021 10:45,3 Feet,2.74
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,E0B80702024,10/18/2021 12:30,3 Feet,2.95
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,03/09/2021 11:15,3 Feet,3.07
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,04/07/2021 12:15,3 Feet,4.92
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,05/07/2021 12:30,3 Feet,1.9
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,06/07/2021 11:25,3 Feet,3.67
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,07/20/2021 12:05,3 Feet,3.37
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,08/18/2021 13:10,3 Feet,4.11
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,09/15/2021 11:50,3 Feet,1.2
D8 - Suisun Bay off Middle Point nr. Nichols,E3B80361594,10/15/2021 11:55,3 Feet,1.63
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,03/05/2021 09:40,3 Feet,1.49
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,04/05/2021 11:35,3 Feet,1.09
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,05/05/2021 12:15,3 Feet,2.41
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,06/03/2021 11:45,3 Feet,4.2
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,07/16/2021 09:00,3 Feet,3.17
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,08/16/2021 12:00,3 Feet,3.14
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,09/10/2021 09:05,3 Feet,1.97
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,10/13/2021 12:55,3 Feet,1.38
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,03/11/2021 11:50,3 Feet,2.77
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,04/09/2021 12:35,3 Feet,1.97
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,05/11/2021 13:40,3 Feet,2.17
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,06/09/2021 13:55,3 Feet,2.93
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,07/22/2021 13:50,3 Feet,3
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,08/20/2021 12:40,3 Feet,2.61
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,09/17/2021 12:20,3 Feet,1.23
NZ002 - Carquinez Strait near Glencove Harbor,E0E80392129,10/19/2021 12:35,3 Feet,2.82
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,03/11/2021 12:15,3 Feet,2.61
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,04/09/2021 12:50,3 Feet,2.7
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,05/11/2021 14:00,3 Feet,3.29
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,06/09/2021 14:10,3 Feet,3.1
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,07/22/2021 14:05,3 Feet,3
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,08/20/2021 12:50,3 Feet,2.97
NZ004 - Carquinez Strait near Ozol Pier,E0E80212097,10/19/2021 13:00,3 Feet,2.4
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,03/10/2021 14:05,3 Feet,6.38
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,04/08/2021 13:50,3 Feet,9.89
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,05/10/2021 15:50,3 Feet,9.84
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,06/08/2021 16:35,3 Feet,3.25
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,07/21/2021 15:15,3 Feet,6.04
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,08/19/2021 14:30,3 Feet,9.04
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,09/16/2021 12:50,3 Feet,2.78
NZ032 - Montezuma Slough nr Grizzly Island Club,E3S81022013,10/18/2021 14:30,3 Feet,1.61
NZ068 in Sacramento River,B9D80861414,03/08/2021 14:15,3 Feet,4.99
NZ068 in Sacramento River,B9D80861414,04/06/2021 13:10,3 Feet,5.12
NZ068 in Sacramento River,B9D80861414,05/06/2021 15:00,3 Feet,3.88
NZ068 in Sacramento River,B9D80861414,06/04/2021 13:35,3 Feet,2.37
NZ068 in Sacramento River,B9D80861414,07/19/2021 14:30,3 Feet,3.7
NZ068 in Sacramento River,B9D80861414,08/17/2021 14:45,3 Feet,3.08
NZ068 in Sacramento River,B9D80861414,09/14/2021 13:10,3 Feet,2.44
NZ068 in Sacramento River,B9D80861414,10/22/2021 08:45,3 Feet,1.85
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,03/11/2021 11:10,3 Feet,1.71
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,04/09/2021 12:10,3 Feet,2.23
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,05/11/2021 13:20,3 Feet,1.53
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,06/09/2021 13:40,3 Feet,3.63
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,07/22/2021 13:35,3 Feet,3.85
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,08/20/2021 12:20,3 Feet,3.09
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,09/17/2021 12:05,3 Feet,3.06
NZ325 - San Pablo Bay near Rock Wall and Light 15,E3B80352175,10/19/2021 12:15,3 Feet,4.22
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,03/10/2021 13:10,3 Feet,4.62
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,04/08/2021 12:45,3 Feet,16.85
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,05/10/2021 15:00,3 Feet,2.04
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,06/08/2021 15:45,3 Feet,5.03
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,07/21/2021 14:25,3 Feet,4.84
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,08/19/2021 13:40,3 Feet,5.92
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,09/16/2021 11:45,3 Feet,2.42
NZS42 - Suisun Slough @ Volanti Slough,E3S81082029,10/18/2021 13:25,3 Feet,1.87
P8 - San Joaquin River @ Buckley Cove,B9D75871229,03/05/2021 11:00,3 Feet,1.56
P8 - San Joaquin River @ Buckley Cove,B9D75871229,04/05/2021 13:05,3 Feet,2.62
P8 - San Joaquin River @ Buckley Cove,B9D75871229,05/05/2021 13:40,3 Feet,4.73
P8 - San Joaquin River @ Buckley Cove,B9D75871229,06/03/2021 13:05,3 Feet,4.39
P8 - San Joaquin River @ Buckley Cove,B9D75871229,07/16/2021 10:20,3 Feet,4.3
P8 - San Joaquin River @ Buckley Cove,B9D75871229,08/16/2021 13:30,3 Feet,5.56
P8 - San Joaquin River @ Buckley Cove,B9D75871229,09/10/2021 11:05,3 Feet,3.85
P8 - San Joaquin River @ Buckley Cove,B9D75871229,10/13/2021 14:25,3 Feet,1.97
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,03/08/2021 13:35,3 Feet,5.75
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,04/06/2021 12:15,3 Feet,9.78
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,05/06/2021 14:20,3 Feet,2.36
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,06/04/2021 13:00,3 Feet,2.03
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,07/19/2021 14:00,3 Feet,2.83
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,08/17/2021 14:15,3 Feet,3.62
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,09/14/2021 12:35,3 Feet,2.06
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,EZ2,10/22/2021 08:40,3 Feet,2.04
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,03/08/2021 12:15,3 Feet,8.08
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,04/06/2021 11:20,3 Feet,6.11
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,05/06/2021 13:05,3 Feet,2
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,06/04/2021 12:20,3 Feet,2.04
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,07/19/2021 12:40,3 Feet,2.37
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,08/17/2021 13:20,3 Feet,3.09
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,09/14/2021 11:40,3 Feet,2.75
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,EZ6,10/22/2021 07:50,3 Feet,1.5
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,03/04/2021 08:55,3 Feet,4.09
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,04/02/2021 08:10,3 Feet,4.77
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,05/04/2021 11:10,3 Feet,1.33
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,06/02/2021 11:30,3 Feet,1.68
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,07/15/2021 09:35,3 Feet,5.83
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,08/13/2021 09:30,3 Feet,6.32
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,09/13/2021 09:40,3 Feet,2.23
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,EZ2-SJR,10/14/2021 15:00,3 Feet,2.03
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,03/04/2021 08:05,3 Feet,4.6
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,05/04/2021 10:15,3 Feet,1.21
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,06/02/2021 10:40,3 Feet,1.93
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,07/15/2021 08:35,3 Feet,3.27
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,08/13/2021 08:30,3 Feet,3.74
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,09/13/2021 08:50,3 Feet,2.27
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,EZ6-SJR,10/14/2021 13:20,3 Feet,1.85
Sacramento River @ Hood - C3A,B9D82211312,03/03/2021 08:45,3 Feet,1.21
Sacramento River @ Hood - C3A,B9D82211312,04/01/2021 08:00,3 Feet,0.6
Sacramento River @ Hood - C3A,B9D82211312,05/03/2021 08:00,3 Feet,<0.5
Sacramento River @ Hood - C3A,B9D82211312,06/01/2021 08:45,3 Feet,0.77
Sacramento River @ Hood - C3A,B9D82211312,07/14/2021 07:30,3 Feet,0.9
Sacramento River @ Hood - C3A,B9D82211312,08/12/2021 07:30,3 Feet,0.95
Sacramento River @ Hood - C3A,B9D82211312,09/09/2021 06:15,3 Feet,0.72
Sacramento River @ Hood - C3A,B9D82211312,10/11/2021 09:15,3 Feet,<0.5
